name,filter,mjd_max,flux_max,flux_err_max
SN2000cu,B,51744.0,1.8943588615992073e-15,2.2415064544260465e-17
SN2000cu,R,51745.0,9.339425237238267e-16,9.482392324304503e-18
SN2000cu,V,51744.0,1.2433692642167028e-15,1.8359983048058308e-17
SN1995al,V,50029.0,2.0730961306443114e-14,6.2628796785438675e-15
SN1995al,R,50029.0,1.0991299479446911e-14,1.7963895238446956e-16
SN2007tt,R,54422.0,4.540966802642999e-18,1.7868969575726509e-19
SN2007tt,I,54420.0,2.6324428788489067e-18,1.2913516396462721e-19
SN2013gy,g,56650.0,5.209722340253427e-15,8.228476045276971e-17
SN2013gy,B,56648.0,7.006636617344842e-15,8.72752971841652e-17
SN2013gy,I,56647.0,1.1085942818026067e-15,1.158058258984846e-17
SN2013gy,R,56649.0,2.4615754126330916e-15,1.402948137129649e-17
SN2013gy,V,56648.0,3.996868922420621e-15,8.588606395041092e-17
SN2013gy,r,56650.0,3.16696833177775e-15,2.944198968658833e-17
SN2013gy,i,56646.0,1.448034042485725e-15,1.6768556074635272e-17
SN2009kq,r,55156.0,3.82382312681772e-15,2.8214681294928934e-17
SN2009kq,V,55156.0,5.1928847856281794e-15,3.2233952302610305e-17
SN2009kq,R,55156.0,3.1479252986980347e-15,3.012816770811902e-17
SN1993ae,I,49310.0,4.2463679909439046e-16,3.893562316623509e-18
SN1993ae,V,49301.0,1.3218825451613483e-15,1.2475864513691662e-17
SN2004gs,V,53358.0,5.355141207926743e-16,3.225539036284144e-18
SN2004gs,r,53357.0,4.3471878913113e-16,1.523041863708111e-18
SN1999ee,B,51468.0,6.857276585321862e-15,1.3337630344681922e-17
SN1999ee,I,51466.0,1.6144103120964165e-15,4.51209763544923e-18
SN1999ee,R,51470.0,3.449231801952889e-15,7.853976573273058e-18
